subset_sz,subset_n,time,d,index
1,400,0.26088905334472656,0.5,324
2,400,0.12583303451538086,0.3,15
3,400,0.12574505805969238,0.1625,107
4,400,0.13042688369750977,0.1625,93
5,400,0.14410686492919922,0.1625,104
6,400,0.13935279846191406,0.1625,111
7,400,0.14391493797302246,0.1625,107
8,400,0.14978981018066406,0.1625,27
9,400,0.15528488159179688,0.1625,7
10,400,0.16369390487670898,0.1625,311
11,400,0.160722017288208,0.1625,93
12,400,0.15510010719299316,0.1625,22
13,400,0.16370797157287598,0.1625,16
14,400,0.16063904762268066,0.1625,25
15,400,0.16868305206298828,0.1625,132
16,400,0.17255306243896484,0.1625,16
17,400,0.17356610298156738,0.1625,100
18,400,0.1763620376586914,0.1625,181
19,400,0.18151307106018066,0.1625,15
20,400,0.1810300350189209,0.1625,59
